uid1;customer_age;registration_dt;email_flg;has_mob_app;phone_number;push_flg;card_balance;active_deposit_flag;hascrcard;numofproducts;Geography;EstimatedSalary;Exited
30968150;65;14.04.2012;0;0;1;0;87990;0;0;7;Odintsovo;703920;0
1658080;44;16.04.2012;0;0;1;0;40815.9;0;0;2;Saint-Petersburg;326527;0
9293294;37;17.04.2012;0;0;1;0;0;0;0;1;Krasnodar;25996;1
6483400;28;17.04.2012;0;0;1;0;1044;0;1;3;Omsk;8352;1
18598494;36;18.04.2012;0;0;1;0;8966;0;0;1;Saint-Petersburg;71728;0
6331232;57;19.04.2012;0;0;1;0;12801.7;0;0;5;Vladivostok;102414;0
47794003;47;19.04.2012;0;0;1;0;19890;0;1;2;Krasnogorsk;159120;0
17556371;37;25.04.2012;0;0;1;0;2859.9;0;0;3;Saint-Petersburg;22879;0
30728852;52;26.04.2012;0;0;1;0;0;0;1;1;Voronezh;13610;1
600995;39;26.04.2012;1;0;1;0;1043;0;0;2;Sevastopol;8344;0
5382694;33;26.04.2012;1;0;1;0;103331.9;0;1;3;Vladivostok;826655;0
1456880;58;27.04.2012;0;0;1;0;52277.6;0;0;5;Kazan;418221;0
15536588;49;29.04.2012;1;1;1;0;0;0;0;2;Vladivostok;13304;0
14586037;45;29.04.2012;1;0;1;0;13060;0;0;2;Odintsovo;104480;0
26068999;64;02.05.2012;0;0;1;0;1472;0;0;5;Moscow;11776;1
47898674;;02.05.2012;0;0;1;0;8908;0;1;4;Samara;71264;0
50192573;44;02.05.2012;0;0;1;0;68255.3;0;0;5;Voronezh;546042;0
47592620;47;04.05.2012;1;0;1;0;9148.5;0;0;2;Kaliningrad;73188;0
30034044;46;05.05.2012;0;0;1;0;20567.7;0;0;5;Ekaterinburg;164542;0
5649951;32;07.05.2012;1;1;1;1;9172;0;1;4;Sevastopol;73376;0
40690541;32;10.05.2012;1;1;1;0;720;0;1;4;Novokuznetsk;5760;0
22277458;62;11.05.2012;1;0;1;0;25322.7;0;1;3;Odintsovo;202582;0
28716091;36;12.05.2012;0;0;1;0;96680;0;1;3;Kaliningrad;773440;0
10318145;39;14.05.2012;1;0;1;0;2266;0;1;2;Voronezh;18128;0
25629976;69;15.05.2012;1;0;1;0;8802.1;0;0;3;Moscow;70417;0
51276367;29;16.05.2012;1;1;1;0;45880.4;0;0;3;Moscow;367043;0
8585207;37;17.05.2012;1;0;1;0;3258;0;1;2;Sevastopol;26064;1
41913882;39;18.05.2012;0;0;1;0;197103.1;0;1;5;Krasnogorsk;1576825;0
52125695;61;21.05.2012;0;0;1;0;1917;0;0;5;Kaliningrad;15336;0
26162813;42;23.05.2012;1;1;1;0;4096;0;0;1;Voronezh;32768;0
39390115;40;23.05.2012;1;1;1;1;5303;0;1;2;Moscow;42424;0
18131645;52;24.05.2012;0;0;1;0;0;0;1;4;Moscow;8648;1
4919239;30;24.05.2012;1;1;1;1;8008;0;1;2;Moscow;64064;0
50852969;60;25.05.2012;0;1;1;0;8919;0;0;2;Vladivostok;71352;0
1994725;34;25.05.2012;0;1;1;0;36739.6;0;1;5;Kaliningrad;293917;0
44928971;39;29.05.2012;1;1;1;1;7182;0;1;2;Moscow;57456;0
17584763;57;29.05.2012;1;0;1;0;46090;0;0;4;Novosibirsk;368720;0
17151762;61;01.06.2012;0;0;1;0;60195.6;0;0;6;Krasnodar;481565;0
7495537;55;02.06.2012;0;1;1;0;1397;0;1;6;Krasnogorsk;11176;0
44303942;37;02.06.2012;0;1;1;0;37896.1;0;0;3;Pushkin;303169;0
39766610;34;06.06.2012;0;0;1;0;6670;0;0;2;Odintsovo;53360;0
36833795;48;06.06.2012;0;0;1;0;196548;0;0;4;Odintsovo;1572384;0
38142125;53;06.06.2012;1;1;1;1;296355.9;0;0;1;Krasnodar;2370847;0
36413135;41;07.06.2012;1;1;1;1;6561;0;1;1;Saint-Petersburg;52488;1
48939688;33;08.06.2012;1;1;1;1;163056.3;0;0;2;Novokuznetsk;1304450;0
25332791;35;09.06.2012;1;0;1;0;0;0;1;2;Kaliningrad;24161;1
27846201;45;09.06.2012;1;0;1;0;0;0;0;3;Samara;54029;1
5453739;39;10.06.2012;0;0;1;0;16193.3;1;1;5;Odintsovo;129546;0
31464786;60;12.06.2012;1;0;1;0;0;0;0;1;Ekaterinburg;38244;1
49492545;30;13.06.2012;0;1;1;1;99040;0;0;3;Ekaterinburg;792320;0
3277099;70;14.06.2012;0;0;1;0;2393;1;1;4;Sevastopol;19144;0
6649768;71;16.06.2012;0;0;1;0;0;0;0;1;Kazan;4298;0
14105556;42;17.06.2012;0;0;1;0;10657.5;0;1;3;Perm;85260;0
38789528;29;17.06.2012;1;0;1;0;63567.6;0;0;5;Kazan;508541;0
49520455;43;19.06.2012;0;0;1;0;45178.3;0;1;5;Moscow;361426;0
3458867;33;19.06.2012;1;0;1;0;47435.5;0;1;2;Krasnodar;379484;0
37825013;41;20.06.2012;1;1;1;0;595788.7;0;0;1;Sevastopol;4766310;0
28619478;40;23.06.2012;1;0;1;0;0;0;1;2;Novokuznetsk;10282;1
47184428;45;24.06.2012;1;0;1;0;68222.1;0;1;4;Ekaterinburg;545777;0
45941833;53;26.06.2012;0;0;1;0;0;0;1;2;Moscow;11476;1
6818638;41;29.06.2012;0;0;1;0;58006.9;1;1;1;Moscow;464055;0
41298065;33;02.07.2012;0;0;1;0;0;0;0;2;Voronezh;16730;0
27786975;45;05.07.2012;1;1;1;1;317562.4;0;1;4;Novokuznetsk;2540499;0
35634026;29;06.07.2012;1;0;1;0;31135.9;0;0;6;Moscow;249087;0
20828666;47;10.07.2012;0;1;1;1;317890.9;0;0;6;Samara;2543127;0
6364228;29;11.07.2012;1;0;1;0;3441;0;1;1;Ekaterinburg;27528;0
15899632;34;11.07.2012;0;0;1;0;30896.7;0;1;3;Krasnodar;247174;0
11245348;42;12.07.2012;1;0;1;0;4817;0;0;3;Voronezh;38536;0
17566785;35;12.07.2012;1;1;1;1;77315.9;1;0;7;Novosibirsk;618527;0
49991203;52;13.07.2012;0;0;1;0;9632;0;0;3;Krasnodar;77056;0
14519824;34;13.07.2012;0;1;1;0;26964;0;0;4;Krasnodar;215712;0
29652953;33;14.07.2012;0;1;1;0;3898;0;1;4;Vladivostok;31184;1
38884845;70;17.07.2012;0;0;1;0;15258.3;0;0;3;Sevastopol;122066;0
32833992;41;19.07.2012;1;1;1;0;1980;0;0;4;Kazan;15840;0
13505637;44;22.07.2012;1;1;1;0;6211;0;0;5;Novokuznetsk;49688;0
2923383;66;23.07.2012;0;0;1;0;5040;0;1;5;Moscow;40320;0
18008889;79;23.07.2012;0;0;1;0;31648.6;1;0;2;Sevastopol;253189;0
45306579;37;26.07.2012;1;0;1;0;5369.8;0;1;3;Voronezh;42958;0
24051702;64;26.07.2012;0;0;1;0;35810.4;0;0;5;Krasnodar;286483;0
36027252;33;27.07.2012;1;0;1;0;0;0;1;2;Novokuznetsk;58015;1
18475863;66;29.07.2012;1;0;1;0;105389.3;0;0;4;Kazan;843114;0
19379276;36;04.08.2012;0;0;1;0;8492;0;0;3;Ekaterinburg;67936;1
7511606;48;09.08.2012;1;0;1;0;0;0;1;4;Odintsovo;17277;1
6562437;;10.08.2012;0;0;1;0;0;0;0;1;Novosibirsk;5482;1
45318030;27;13.08.2012;1;1;1;1;5185;1;1;5;Krasnodar;41480;0
7856055;37;13.08.2012;0;0;1;0;17430;0;0;2;Odintsovo;139440;0
50973170;47;15.08.2012;1;0;1;0;3000;0;1;3;Omsk;24000;0
21221286;37;20.08.2012;1;0;1;0;550;0;0;4;Krasnogorsk;4400;1
45258363;32;20.08.2012;1;0;1;0;26557;1;0;5;Vladivostok;212456;0
43971761;34;20.08.2012;0;0;1;0;76439.6;1;0;2;Voronezh;611517;0
31386796;39;24.08.2012;1;0;1;0;0;0;0;3;Perm;5650;1
45139252;37;24.08.2012;0;0;1;0;7650;0;0;4;Ekaterinburg;61200;1
6077491;44;26.08.2012;1;1;1;0;4169;0;1;3;Vladivostok;33352;1
51034494;48;28.08.2012;0;0;1;0;6584;0;1;3;Voronezh;52672;0
17866617;69;28.08.2012;0;0;1;0;6895;0;1;4;Moscow;55160;0
14566526;42;30.08.2012;0;0;1;0;0;0;1;1;Ufa;19042;1
22665221;70;30.08.2012;0;0;1;0;5461.2;0;0;3;Voronezh;43690;0
28652434;44;30.08.2012;1;0;1;0;8909;0;0;3;Volgograd;71272;0
47259460;45;31.08.2012;1;0;1;0;5074;0;0;4;Volgograd;40592;0
21599685;59;03.09.2012;0;0;1;0;0;0;0;3;Kazan;9350;0
10322216;65;05.09.2012;0;0;1;0;10048.7;0;1;7;Sevastopol;80390;0
24982923;40;05.09.2012;1;0;1;0;28506.6;0;0;4;Krasnogorsk;228053;0
14803004;35;06.09.2012;1;0;1;0;6100;0;0;4;Omsk;48800;0
22036071;35;07.09.2012;1;0;1;0;0;0;0;3;Moscow;29552;1
26292106;35;07.09.2012;1;0;1;0;4987;0;0;2;Novosibirsk;39896;0
5540862;45;08.09.2012;1;1;1;0;78159.6;1;0;2;Kaliningrad;625277;0
27291498;35;10.09.2012;0;1;1;0;4919.6;0;1;4;Omsk;39357;0
49836791;50;10.09.2012;0;0;1;0;6480;0;1;4;Krasnodar;51840;0
30250234;33;10.09.2012;1;1;1;0;156385.1;0;0;4;Omsk;1251081;0
17567632;30;11.09.2012;0;0;1;0;5544;0;0;2;Ekaterinburg;44352;0
45949808;26;12.09.2012;0;0;1;0;0;0;0;1;Moscow;42308;1
38706218;40;12.09.2012;1;1;1;0;12620.9;1;1;3;Odintsovo;100967;0
34567579;37;13.09.2012;0;0;1;0;0;0;0;4;Novosibirsk;11724;0
9987675;40;15.09.2012;0;0;1;0;49491;1;0;3;Vladivostok;395928;0
7245112;31;17.09.2012;1;0;1;0;3090;0;0;5;Samara;24720;0
49519037;39;17.09.2012;0;0;1;0;46503;0;0;3;Odintsovo;372024;0
9519633;43;20.09.2012;0;0;1;0;0;0;1;2;Saint-Petersburg;9531;1
12322745;28;20.09.2012;0;0;1;0;64691.7;0;0;4;Krasnodar;517534;0
37670011;41;21.09.2012;1;0;1;0;0;1;1;7;Novokuznetsk;48199;0
20189768;45;21.09.2012;1;0;1;0;81792.1;0;0;3;Moscow;654337;0
25402476;26;25.09.2012;0;0;1;0;0;0;1;1;Novokuznetsk;14489;1
3950862;46;26.09.2012;0;0;1;0;0;0;1;1;Novokuznetsk;15523;1
45966041;45;26.09.2012;0;0;1;0;46428;0;1;5;Moscow;371424;0
34617668;38;27.09.2012;1;0;1;0;0;0;0;1;Voronezh;22914;1
8850727;37;27.09.2012;0;0;1;0;0;0;0;4;Vladivostok;28430;1
